Comment,Polarity,Sentiment
You know the rule and so do i SAY GOODBYE,0.0,Neutral
I clicked this from secret  and got rickrolled😂,-0.4,Negative
"<a href=""https://www.youtube.com/watch?v=dQw4w9WgXcQ"">https://www.youtube.com/watch?v=dQw4w9WgXcQ</a>",0.0,Neutral
"La mujer maestra que mato espiritualmente a mi madre ,me está matando a mi Leiving Thais Chirinos Bravo  enfermando me el estómago y la cabeza gravemente porque me cuesta para comer",0.0,Neutral
"Dammit,  I Rick rolled myself",0.0,Neutral
I love to get rickroll<br>It gives me a great positive feeling,0.5090909090909091,Positive
Any one in 2032?,0.0,Neutral
I got here from a QR code on a guys leg,0.0,Neutral
I can&#39;t believe Gemini just Rick rolled me 😭,0.0,Neutral
MR BEAST ESTAS AGUI,0.0,Neutral
Oh yeah that&#39;s ok,0.5,Positive
this is not free robox,-0.2,Negative
GOT RICKROLLED AS USUAL,-0.25,Negative
🙄Gonna make audience @ my wedding roll there eyes when I hire a look a like to perform… 🎤,0.0,Neutral
Anyone here on 2026?,0.0,Neutral
Anyone reading this comment?,0.0,Neutral
bro I clicked a link...,0.0,Neutral
Les digo a Rick que me salve y cuide de Leiving Thais Chirinos Bravo y mi hermana memor,0.0,Neutral
"Y a mí hermana memor protenjala también, soy Leiving Thais Chirinos Bravo",0.0,Neutral
Por favor protenjjame,0.0,Neutral
"Gracias por decirme la asesina de mi madre, faltó yo Leiving Thais Chirinos Bravo quien me quiere matar",0.0,Neutral
Full love ❤ 😘,0.425,Positive
Can’t even Rick Roll anyone anymore because of unskippable ads,0.0,Neutral
gotta start rolling em again,0.0,Neutral
OH DAMMIT,0.0,Neutral
Can confirm that he never let us down.,-0.15555555555555559,Negative
I bought meme stickers and a QR code sticker brought me here.<br><br>I just got Rick rolled by my own sticker,0.6,Positive
I&#39;m cooked,0.0,Neutral
ChatGPT just Rick rolled me😭,0.0,Neutral
Came back after watching the boys !!,0.0,Neutral
"if youre seeing this comment friend, im sorry.",-0.5,Negative
I just got RickRolled by a mobile game. Lol,0.2,Positive
qr code for brawl stars btw,0.0,Neutral
Quien esta aca por el video de German?😂😂😂,0.0,Neutral
I rickroled my dad 😂,0.0,Neutral
THE ADD SAVED ME,0.0,Neutral
Red is sus!,0.0,Neutral
How have hungry hippos heard heavy helicopters?,-0.2,Negative
DAMN YOU BALL WIZARD!!!,0.0,Neutral
"As your subscriber count continues to grow, do you have any major special projects or custom texture milestones planned for your viewers?&quot;<br><br>(This was generated by ai)",0.20982142857142858,Positive
This song is so good.❤,0.0,Neutral
"<a href=""https://www.youtube.com/watch?v=dQw4w9WgXcQ&amp;t=19"">0:19</a>",0.0,Neutral
"<a href=""https://www.youtube.com/watch?v=QmpXxMto50k"">https://www.youtube.com/watch?v=QmpXxMto50k</a>",0.0,Neutral
Thank you Grimm Life Collective for going to the location in 2026 for the filming locations!❤,0.0,Neutral
Essa. E. Diferenciada ❤❤❤❤❤,0.0,Neutral
hi,0.0,Neutral
Anyone else here today?? Just remembering good times....😢,0.7,Positive
Vendo esse vídeo q Giuliana Mafra mostrou 🔥,0.0,Neutral
discooorrddd,0.0,Neutral
